video,action,true_step,predicted_step
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,open kettle,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,1
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,pour water,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,2
coffee-test-1,turn-on kettle,1,3
coffee-test-1,turn-on kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,close kettle,1,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
